ts_code,trade_date,adj_factor
601988.SH,20260225,2.584
601988.SH,20260224,2.584
601988.SH,20260213,2.584
601988.SH,20260212,2.584
601988.SH,20260211,2.584
601988.SH,20260210,2.584
601988.SH,20260209,2.584
601988.SH,20260206,2.584
601988.SH,20260205,2.584
601988.SH,20260204,2.584
601988.SH,20260203,2.584
601988.SH,20260202,2.584
601988.SH,20260130,2.584
601988.SH,20260129,2.584
601988.SH,20260128,2.584
601988.SH,20260127,2.584
601988.SH,20260126,2.584
601988.SH,20260123,2.584
601988.SH,20260122,2.584
601988.SH,20260121,2.584
601988.SH,20260120,2.584
601988.SH,20260119,2.584
601988.SH,20260116,2.584
601988.SH,20260115,2.584
601988.SH,20260114,2.584
601988.SH,20260113,2.584
601988.SH,20260112,2.584
601988.SH,20260109,2.584
601988.SH,20260108,2.584
601988.SH,20260107,2.584
601988.SH,20260106,2.584
601988.SH,20260105,2.584
601988.SH,20251231,2.584
601988.SH,20251230,2.584
601988.SH,20251229,2.584
601988.SH,20251226,2.584
601988.SH,20251225,2.584
601988.SH,20251224,2.584
601988.SH,20251223,2.584
601988.SH,20251222,2.584
601988.SH,20251219,2.584
601988.SH,20251218,2.584
601988.SH,20251217,2.584
601988.SH,20251216,2.584
601988.SH,20251215,2.584
601988.SH,20251212,2.584
601988.SH,20251211,2.584
601988.SH,20251210,2.5346
601988.SH,20251209,2.5346
601988.SH,20251208,2.5346
601988.SH,20251205,2.5346
601988.SH,20251204,2.5346
601988.SH,20251203,2.5346
601988.SH,20251202,2.5346
601988.SH,20251201,2.5346
601988.SH,20251128,2.5346
601988.SH,20251127,2.5346
601988.SH,20251126,2.5346
601988.SH,20251125,2.5346
601988.SH,20251124,2.5346
601988.SH,20251121,2.5346
601988.SH,20251120,2.5346
601988.SH,20251119,2.5346
601988.SH,20251118,2.5346
601988.SH,20251117,2.5346
601988.SH,20251114,2.5346
601988.SH,20251113,2.5346
601988.SH,20251112,2.5346
601988.SH,20251111,2.5346
601988.SH,20251110,2.5346
601988.SH,20251107,2.5346
601988.SH,20251106,2.5346
601988.SH,20251105,2.5346
601988.SH,20251104,2.5346
601988.SH,20251103,2.5346
601988.SH,20251031,2.5346
601988.SH,20251030,2.5346
601988.SH,20251029,2.5346
601988.SH,20251028,2.5346
601988.SH,20251027,2.5346
601988.SH,20251024,2.5346
601988.SH,20251023,2.5346
601988.SH,20251022,2.5346
601988.SH,20251021,2.5346
601988.SH,20251020,2.5346
601988.SH,20251017,2.5346
601988.SH,20251016,2.5346
601988.SH,20251015,2.5346
601988.SH,20251014,2.5346
601988.SH,20251013,2.5346
601988.SH,20251010,2.5346
601988.SH,20251009,2.5346
601988.SH,20250930,2.5346
601988.SH,20250929,2.5346
601988.SH,20250926,2.5346
601988.SH,20250925,2.5346
601988.SH,20250924,2.5346
601988.SH,20250923,2.5346
601988.SH,20250922,2.5346
601988.SH,20250919,2.5346
601988.SH,20250918,2.5346
601988.SH,20250917,2.5346
601988.SH,20250916,2.5346
601988.SH,20250915,2.5346
601988.SH,20250912,2.5346
601988.SH,20250911,2.5346
601988.SH,20250910,2.5346
